LaRegion,LA,urban,Population2007,Population2008,Population2009,CINrAtMarch31St2009,CINrDuring2009,CINrReferrals2007,CINrReferrals2008,CINrReferrals2009,CINrPriorReferral2007,CINrPriorReferral2008,CINrPriorReferral2009,CINrAssessmentInitial7Days2007,CINrAssessmentInitial7Days2008,CINrAssessmentInitial10Days2009,CINrAssessmentCore35Days2007,CINrAssessmentCore35Days2008,CINrAssessmentCore35Days2009,CINrCPPWithPriorCPP2007,CINrCPPWithPriorCPP2008,CINrCPPWithPriorCPP2009,WFrVacancyRate2010,WFrTurnoverRate2010,WFrAgencyWorkerRate2010,IMDScore
North West,Cheshire East,3,76845,76611,75988,293.7,504.7,805.5,586.7,538.8,28.9,44.4,18.2,64.8,71.3,75.7,68.1,80.2,68.2,10,8.9,6.1,0,0,11.1,14.99
North West,Cheshire West and Chester,3,68725,68162,67214,301.3,654.2, , ,705.5, , ,18.1, , ,76.5, , ,80.7, , ,8.9,0,0,0,14.99
West Midlands,Shropshire,2,61787,61741,61062,288.9,296.1,203.9,265.6,234.7,23.4,19.8,3.8,71.4,65,81.1,59.5,70.9,61.4,14.8,11.4,15.6, , , ,16.36
South West,Cornwall,1,103393,103073,102693,256.4,534.4,711.4,757.7,662.5,33.2,34.2,16,76.9,60.7,83.6,75.7,59.8,73.1,10.9,18.3,15.6, , , ,22.49
South West,Wiltshire,2,103223,103221,102822,180.2,465.7,231.5,307.1,362.5,22.8,16.6,12.2,64.7,70.8,65.1,81.3,85.4,61.8,13.8,15.2,5.3,0,17.4,0,12.19
East of England,Bedford Borough,3,34934,35233,35400,303.4,745.5,800.1,877,461,21.5,18.9,9,87.9,91.2,95.3,80.9,87.6,89.5,14.6,17,12.4,0,0,0,13.44
East of England,Central Bedfordshire,2,56525,56480,56201,242.5,436.5, , ,310.3, , ,7.1, , ,91, , ,72.8, , ,13.2,0,0,0,13.44
North West,Bolton,6,63629,63736,64012,304.9,475.2,433,386.8,554,23,19.1,9.3,89.3,92.2,96.4,88.7,89.4,87.3,9.3,5.6,8.4, , , ,30.46
North West,Bury,6,42284,41996,42052,464.4,696,618.4,765.5,460.1,9.4,21.3,9,90,54.2,90.3,71.4,66.7,73,13.9,17.1,22.4, , , ,22.23
North West,Manchester,6,100970,102941,104178,257.8,443.5,712.1,830.1,794.1,10.1,13.5,16,50.1,65.4,74.8,86.9,68.6,53.9,11.3,14.8,11.7, , , ,41.13
North West,Oldham,6,56021,56364,56301,373.7,722.2,390,292.7,502.1,29.3,21.8,12.6,84.2,94.3,96.9,86.1,96.2,92.9,7.9,10.9,13.9,15.4,4.5,0,30.41
North West,Rochdale,6,51292,51208,50953,384.3,860,523.5,703,625.1,15.5,30.8,10.6,74.6,72.3,75.6,88.6,59.6,60.6,9.5,14.6,11.9, , , ,33.85
North West,Salford,6,47913,48863,49504,235.7,379.4,513.4,633.4,636.7,23.6,26,11.9,74.8,78.2,46.3,88.9,78.4,42.1,22.2,12.5,10.1, , , ,34.74
North West,Stockport,6,61208,60926,60613,248.3,314.5,306.3,306.9,490.5,22.9,22.2,18.1,73.4,80.3,87.4,83.8,86.2,79.8,16.1,17.9,17.8,0,5.6,0,18.88
North West,Tameside,6,48429,48537,48478,332.3,779.9,541,577.9,614.9,26.7,25.8,11.4,83.1,80.6,92.1,81.4,76.6,68.4,18.9,14,8.4,0,14.3,0,29.62
North West,Trafford,6,50101,50101,50594,246.1,411.9,192.6,192.6,197.8,16.6,11.4,4.1,74,86.6,80.2,87.1,85.1,61.4,17.5,15.8,13.3, , , ,17.05
North West,Wigan,6,67785,68054,68062,342.5,630.6,421.9,408.5,358.2,28.8,25.2,7.3,72.7,73.6,74.2,69.6,82.6,83.8,11.1,10.5,17.5, , , ,26.01
North West,Knowsley,6,35029,34467,33753,365.3,913.4,455.3,536.7,790.4,21.9,24.9,15.6,75.6,65.8,65.5,81.3,62.3,55.6,5,7.7,8, , , ,41.01
North West,Liverpool,6,92223,91262,90059, , ,636,607,974.1,8.3,4.5, ,91.7,74.3, ,95.1,96.7,50.6,19.3,9.8,9.2,4.9,2.6,0,43.45
North West,St Helens,6,38272,37847,37317,412.1,939,708.1,803.2,923.7,33.9,29.8,15.3,74.8,77.6,78,82.3,91.5,76.4,4.5,11.4,19.8, , , ,28.37
North West,Sefton,6,57618,56415,55180,334.4,669.4,347.1,400.6,469.2,32.5,15.3,12.2,59,65.1,75.5,80.5,69.8,81.5,13.3,13.5,16.7,0,9.1,0,24.25
North West,Wirral,6,69361,68964,68434,390.4,777.4,407.3,460.4,508.7,27.6,25,13.3,78.8,77.5,75,89.6,78.6,75.9,15.2,10.9,17.1, , , ,26.84
Yorkshire and the Humber,Barnsley,5,49150,49208,48966,227.5,483,504.6,457.2,506.7,27.4,25.1,11.9,71.1,68.5,78.8,82.5,88,82.1,16.1,11.8,8.1, , , ,28.55
